Epoch,Open,High,Low,Close,Volume,Number
2023-12-17 03:40:00+00:00,2219.83,2219.84,2217.51,2219.13,958497.135249,1095
2023-12-17 03:45:00+00:00,2219.13,2220.79,2218.41,2220.15,610813.548721,994
2023-12-17 03:50:00+00:00,2220.15,2220.41,2218.63,2219.84,589189.604724,977
2023-12-17 03:55:00+00:00,2219.84,2220.19,2214.73,2216.26,5970818.399064999,1674
2023-12-17 04:00:00+00:00,2216.26,2220.71,2215.97,2220.37,1595111.229081,1266
2023-12-17 04:05:00+00:00,2220.37,2220.4,2217.22,2217.37,1015412.294337,1024
2023-12-17 04:10:00+00:00,2217.37,2219.8,2217.37,2219.24,1110775.489139,1140
2023-12-17 04:15:00+00:00,2219.24,2221.95,2219.24,2221.95,756030.104937,970
2023-12-17 04:20:00+00:00,2221.95,2222.86,2221.41,2222.6,901427.787202,877
2023-12-17 04:25:00+00:00,2222.6,2222.89,2221.05,2222.86,762261.933972,803
2023-12-17 04:30:00+00:00,2222.86,2223.34,2220.66,2221.0,1284166.442133,1033
2023-12-17 04:35:00+00:00,2221.0,2221.63,2220.12,2221.62,622410.470958,944
2023-12-17 04:40:00+00:00,2221.62,2221.63,2220.0,2220.24,686058.481511,913
2023-12-17 04:45:00+00:00,2220.24,2221.25,2219.8,2221.25,1240844.413861,928
2023-12-17 04:50:00+00:00,2221.25,2221.65,2220.61,2221.32,526057.257142,849
2023-12-17 04:55:00+00:00,2221.32,2223.15,2220.6,2220.94,1029315.876885,998
2023-12-17 05:00:00+00:00,2220.94,2221.57,2220.63,2220.64,439608.673049,757
2023-12-17 05:05:00+00:00,2220.64,2223.08,2220.61,2223.08,575427.648206,977
2023-12-17 05:10:00+00:00,2223.08,2223.92,2222.4,2222.74,519194.034395,740
2023-12-17 05:15:00+00:00,2222.74,2223.19,2221.21,2222.13,393704.630203,729
